"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"1717","SRR26836259","2023-11-15 09:52:29","2023-11-15 09:00:18",27238065,8171419500,27238065,300,2534,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26836/SRR26836259/SRR26836259.lite.1","SRX22532189","Control 2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19542340","SAMN38210741","simple",3197,"Marchantia polymorpha","Control for mutant 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1751236",NA,"public","BA1DF368F20240FD1C3AC1ED74EFEA6B","D2C111A6D221C8BC205A5051D3650F5F"
"1716","SRR26836260","2023-11-15 09:52:29","2023-11-15 08:46:05",28386759,8516027700,28386759,300,2570,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26836/SRR26836260/SRR26836260.lite.1","SRX22532188","Control 1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19542338","SAMN38210740","simple",3197,"Marchantia polymorpha","Control for mutant 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1751236",NA,"public","B7DB4411C0C0866682FEF9825181E2F8","D785DC51A0E3263A293636DF07D7F487"
"1736","SRR26828330","2023-11-14 18:31:54","2023-11-14 17:37:31",29219906,8765971800,29219906,300,2664,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26828/SRR26828330/SRR26828330.lite.1","SRX22524849","Mpscl-3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19536279","SAMN38255523","simple",3197,"Marchantia polymorpha","Mpscl mutant 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750933",NA,"public","785CDEDF822DA15DC34AEADF4D68044E","D8EF44D678C86473B966119DC328C53F"
"1735","SRR26828331","2023-11-14 18:31:54","2023-11-14 17:36:51",26669705,8000911500,26669705,300,2427,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26828/SRR26828331/SRR26828331.lite.1","SRX22524848","Mpscl-2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19536278","SAMN38255522","simple",3197,"Marchantia polymorpha","Mpscl mutant 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750933",NA,"public","B695FB60ADC3F29215367DDEEDA199D2","C8BA62674F4289945DF7FAF5E70E9581"
"1734","SRR26828332","2023-11-14 18:31:54","2023-11-14 17:35:58",28107889,8432366700,28107889,300,2573,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26828/SRR26828332/SRR26828332.lite.1","SRX22524847","Mpscl-1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19536277","SAMN38255521","simple",3197,"Marchantia polymorpha","Mpscl mutant 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750933",NA,"public","8917D84A93CA7C4ECF07530E58F1F838","D132FCE7431EFF8127CAE8437B051599"
"1740","SRR26823038","2023-11-14 11:23:46","2023-11-14 11:12:55",22072884,6621865200,22072884,300,2051,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26823/SRR26823038/SRR26823038.lite.1","SRX22519754","GLKoe4","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19531321","SAMN38247437","simple",3197,"Marchantia polymorpha","MpGLK oe T",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750534",NA,"public","85E5D21FF26018738382FB70DEC6D188","479D63D70EBC6854002F78538B8E0156"
"1724","SRR26821754","2023-11-14 11:23:43","2023-11-14 10:07:14",23585115,7075534500,23585115,300,2152,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26821/SRR26821754/SRR26821754.lite.1","SRX22518478","control2023-3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19530073","SAMN38246021","simple",3197,"Marchantia polymorpha","Mutant control 2023 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750454",NA,"public","C69698EB1E42DFF27E9163FE3FED5BB8","6C5BD85CA075B2DE9D735A03E8212514"
"1723","SRR26821755","2023-11-14 11:23:43","2023-11-14 10:08:19",28828864,8648659200,28828864,300,2594,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26821/SRR26821755/SRR26821755.lite.1","SRX22518477","control2023-2","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19530072","SAMN38246020","simple",3197,"Marchantia polymorpha","Mutant control 2023 2",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750454",NA,"public","C60E4794E884DAFB8CD7FF704C024812","BD4B8833131CE823FCAAD1781574D762"
"1722","SRR26821756","2023-11-14 11:23:43","2023-11-14 10:03:22",25711815,7713544500,25711815,300,2351,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26821/SRR26821756/SRR26821756.lite.1","SRX22518476","control2023-1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19530071","SAMN38246019","simple",3197,"Marchantia polymorpha","Mutant control 2023 1",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750454",NA,"public","E1CAA3CF2D345FA309BE6C01C7961D89","563B7308BDB09B97A8EF5352054E5D65"
"1757","SRR26821757","2023-11-14 11:23:43","2023-11-14 10:04:07",26828135,8048440500,26828135,300,2430,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR026/26821/SRR26821757/SRR26821757.lite.1","SRX22518475","Mphy5-3","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina NovaSeq 6000","SRP471380","PRJNA1039314",NA,1039314,"SRS19530070","SAMN38246018","simple",3197,"Marchantia polymorpha","Mphy5 mutant 3",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"UNIVERSITY OF CAMBRIDGE","SRA1750454",NA,"public","41834DC458491D586E7EC0E903D5AA68","51109B62636E79BC3367CEA119A7E937"
