"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX20672649","GSM7476132: tail, 7 DPA; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968312","","81.55","4","452664","136042247","GSM7476132","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672648","GSM7476137: tail, 28 DPA, original tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968313","","96.79","4","537203","161568208","GSM7476137","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672647","GSM7476138: tail, 28 DPA, regenerated tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968311","","84.29","4","468354","140996222","GSM7476138","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672646","GSM7476133: tail, 14 DPA, original tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968308","","15.94","4","84616","25469398","GSM7476133","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672645","GSM7476134: tail, 14 DPA, regenerated tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968307","","6.77","4","35329","10617830","GSM7476134","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672644","GSM7476135: tail, 21 DPA, original tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968306","","81.86","4","453105","136355874","GSM7476135","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672643","GSM7476136: tail, 21 DPA, regenerated tail portion; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968305","","88.74","4","496687","149465429","GSM7476136","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672642","GSM7476131: tail, 3 DPA; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968310","","95.77","4","534885","161010689","GSM7476131","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672641","GSM7476130: tail, 1 DPA; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968309","","93.92","4","518338","156003401","GSM7476130","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
"SRX20672640","GSM7476129: tail, 0 DPA; Anolis carolinensis; RNA-Seq","Anolis carolinensis","Illumina MiSeq","Orthopaedic Surgery, University of Southern Califo","SRP443235","Gene expression profile at single-cell level of regenerating lizard (Anolis carolinensis) tail","SRS17968304","","100.73","4","555956","167331756","GSM7476129","RNA-Seq","TRANSCRIPTOMIC SINGLE CELL","cDNA"
