,Os01g0588900
Os01g0588900,1.0
Os02g0680600,0.995793669376718
Os12g0283900,0.9956690333979523
Os03g0707200,0.9951275783447674
Os04g0321800,0.9943918706742161
Os09g0258000,0.9936414581880472
Os01g0106900,0.9934927236322451
Os01g0635550,0.9925310590313283
Os03g0169100,0.9917335083616823
Os12g0169400,0.991313893840544
Os01g0842200,0.9907729793189427
Os10g0510500,0.9905815280396477
Os02g0499000,0.9899174768884693
Os12g0271700,0.9898666845936593
Os12g0168700,0.9897243303725181
Os08g0457600,0.9893701835050452
Os03g0729100,0.988960492967043
Os01g0869600,0.9887148515554349
Os01g0383700,0.9880809994767146
Os08g0109300,0.9880548227251151
Os07g0479600,0.9879996929220927
Os07g0583600,0.9879857348353932
Os03g0851200,0.9878428371369921
Os03g0731900,0.9875911232138865
Os08g0558200,0.9864027019315147
Os05g0408200,0.985581796468074
Os05g0578100,0.9854173496753921
Os02g0245800,0.9850732210526939
Os02g0506600,0.9849305825737988
Os10g0500600,0.9848122783260368
Os05g0594700,0.9840155966308713
Os09g0115500,0.9834685830866867
Os10g0567000,0.9833399203685483
Os01g0356400,0.9832042837619935
Os03g0726500,0.9831006666557918
Os02g0700400,0.9830923141909113
Os12g0190000,0.9830901726843099
Os03g0127950,0.9830237859796683
Os07g0685700,0.9829079310616711
Os05g0582800,0.9828440791114043
Os07g0502200,0.9828290517442424
Os09g0516600,0.9827863350207494
Os06g0724400,0.9824509255996193
Os07g0626400,0.9823052383458517
Os06g0225300,0.9821630034245967
Os12g0174100,0.9820058648545805
Os12g0133201,0.9820016009882732
Os01g0830000,0.9819587104698841
Os04g0539000,0.9818757970488922
Os07g0165650,0.9817979767020593
Os01g0338600,0.9812144853765848
Os04g0119500,0.9811994373896894
Os04g0657500,0.980873745754361
Os01g0934400,0.9808691519723186
Os08g0478500,0.9808219018531456
Os04g0459900,0.9807716353615382
Os01g0639900,0.980615731029852
Os02g0153900,0.9801798342834883
Os01g0928000,0.9798307274680029
Os08g0243500,0.9798094037179519
