,Os01g0588900
Os01g0588900,1.0
Os06g0566300,0.9999457259158752
Os06g0554200,0.9999457259158752
Os01g0635550,0.9999457259158752
Os02g0245800,0.999864314789688
Os03g0797400,0.999864314789688
Os12g0559200,0.999864314789688
Os05g0578100,0.9998100407055631
Os01g0737500,0.9997693351424695
Os01g0928000,0.9997693351424695
Os04g0111250,0.9996879240162823
Os01g0891700,0.9996879240162823
Os02g0680600,0.9996879240162823
Os09g0455500,0.9996879240162823
Os01g0595600,0.9996200814111262
Os03g0707200,0.9995658073270014
Os04g0480200,0.9995658073270014
Os10g0510500,0.9995658073270014
Os05g0246200,0.9995115332428766
Os01g0869600,0.9994843962008141
Os10g0344500,0.9994436906377205
Os12g0133201,0.9994436906377205
Os07g0165650,0.9993894165535957
Os12g0617250,0.9993894165535957
Os07g0629000,0.9993351424694709
Os01g0934350,0.9993351424694709
Os10g0502400,0.9992944369063772
Os03g0115350,0.9992401628222524
Os01g0940000,0.9992401628222524
Os02g0787700,0.9992401628222524
Os09g0258000,0.9991723202170963
Os12g0283900,0.9991723202170963
Os01g0276900,0.9991316146540027
Os03g0726500,0.9991044776119403
Os01g0842200,0.9990366350067843
Os01g0106900,0.9990366350067843
Os03g0844800,0.9990366350067843
Os01g0934400,0.9990366350067843
Os01g0793300,0.9989280868385346
Os04g0300600,0.9989280868385346
Os01g0497400,0.9989280868385346
Os07g0502200,0.9989280868385346
Os01g0200150,0.9988466757123473
Os07g0227600,0.9988466757123473
Os04g0556600,0.9988059701492538
CAA33953,0.9987788331071913
Os03g0808750,0.9987381275440977
Os02g0581600,0.9987381275440977
Os01g0775500,0.9986974219810041
Os06g0230201,0.9986431478968792
Os09g0115500,0.9986431478968792
Os12g0504050,0.9986431478968792
Os09g0457100,0.9985888738127544
Os02g0536500,0.9985481682496608
Os01g0627800,0.9985481682496608
Os05g0161500,0.9984803256445047
Os03g0659233,0.9984803256445047
Os06g0552700,0.9984803256445047
Os04g0321800,0.9984260515603799
Os03g0290300,0.9983989145183175
ENSRNA049476364,0.9983582089552239
Os02g0750800,0.9983582089552239
Os12g0106000,0.998303934871099
Os10g0400500,0.998303934871099
Os11g0595400,0.9982632293080054
Os01g0383700,0.9982225237449118
Os12g0227050,0.9982225237449118
Os05g0582800,0.9981275440976933
Os09g0466400,0.9981275440976933
Os03g0844850,0.9981275440976933
Os11g0298000,0.9981275440976933
Os04g0585200,0.9981275440976933
Os04g0477000,0.998032564450475
Os03g0682100,0.998032564450475
Os08g0549900,0.9979782903663501
Os08g0531900,0.9979782903663501
Os09g0449800,0.9979240162822253
Os06g0251100,0.9979240162822253
Os03g0650200,0.9978833107191316
Os12g0174100,0.997842605156038
Os04g0296301,0.997842605156038
Os08g0433350,0.9977883310719131
Os11g0117400,0.9977883310719131
ENSRNA049465818,0.9977476255088196
Os03g0729300,0.9977204884667571
Os02g0506600,0.9976662143826323
Os02g0810600,0.9976662143826323
Os07g0166800,0.9976662143826323
Os02g0534550,0.9975983717774762
Os06g0711700,0.9975983717774762
Os07g0583600,0.9975576662143826
Os03g0649050,0.9975305291723202
Os05g0594700,0.9974762550881954
Os03g0127950,0.9974762550881954
Os04g0598900,0.9974762550881954
Os11g0130200,0.9974219810040705
Os06g0693800,0.9973948439620082
Os02g0153900,0.9973134328358209
Os12g0144401,0.9973134328358209
Os02g0700400,0.9973134328358209
Os06g0360500,0.9973134328358209
Os03g0729100,0.9973134328358209
Os02g0109200,0.9972320217096337
Os12g0169400,0.99719131614654
Os11g0106700,0.99719131614654
Os10g0578950,0.9971506105834465
Os03g0153500,0.9970963364993216
Os08g0167800,0.9970963364993216
Os03g0210900,0.9970963364993216
Os02g0499000,0.9970284938941656
Os01g0837600,0.9970284938941656
Os05g0536250,0.9969742198100408
Os05g0211100,0.9969742198100408
Os04g0119500,0.9969335142469471
Os03g0197300,0.9969063772048846
Os01g0172900,0.9968792401628223
Os01g0221600,0.9968521031207599
Os05g0534400,0.9968113975576662
Os01g0639900,0.9968113975576662
Os03g0574900,0.9967435549525102
Os09g0526700,0.9967435549525102
Os12g0617400,0.9967435549525102
Os06g0225300,0.9966621438263229
CAA33990,0.9966621438263229
Os08g0558200,0.9966621438263229
Os07g0687900,0.9965943012211669
Os10g0374600,0.9965943012211669
Os10g0556500,0.9965535956580732
Os07g0491900,0.9965264586160109
Os10g0112500,0.9964993215739485
Os09g0315000,0.9964314789687924
Os07g0240600,0.9964314789687924
Os05g0489200,0.9964314789687924
CAA34007,0.9964314789687924
Os10g0344000,0.9963636363636363
Os04g0662700,0.9963093622795115
Os01g0828100,0.9963093622795115
Os04g0364800,0.9963093622795115
CAA33974,0.9962550881953867
Os01g0637800,0.9962279511533243
Os02g0121700,0.9962008141112618
Os07g0463600,0.9961465400271371
Os04g0111225,0.9961465400271371
Os07g0582400,0.9961465400271371
EPlORYSAT000373851,0.9960922659430123
Os08g0221300,0.9960244233378561
Os08g0406400,0.9960244233378561
Os04g0657500,0.9960244233378561
Os04g0504700,0.9960244233378561
Os08g0473200,0.9959565807327001
Os04g0185600,0.9959294436906377
Os06g0699050,0.9959023066485753
Os04g0632100,0.9958751696065129
Os09g0457250,0.9958480325644504
Os08g0179400,0.9958208955223881
Os09g0482640,0.9957801899592944
Os03g0310900,0.9957801899592944
ENSRNA049466845,0.9957394843962009
Os09g0518000,0.9956987788331072
Os01g0149900,0.9956987788331072
Os11g0117300,0.9956580732700135
Os01g0104500,0.9955902306648575
Os12g0641300,0.9955902306648575
Os08g0562800,0.9955902306648575
Os04g0111200,0.9955902306648575
Os08g0109300,0.9954816824966078
Os03g0751200,0.9954816824966078
Os12g0189300,0.9954816824966078
Os03g0782200,0.9954816824966078
CAA33995,0.9954002713704206
Os04g0372700,0.9954002713704206
Os10g0356000,0.9953324287652646
Os06g0110200,0.9953324287652646
Os03g0169100,0.9953324287652646
