"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX6190975","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483582","","3677.23","1","32357381","8154060012","D14.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190953","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483560","","1568.41","1","16416465","4136949180","D5.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190942","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483549","","2284.68","1","22324272","5625716544","OE5.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190951","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483558","","1406.59","1","14755845","3718472940","D3.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190972","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483579","","2428.92","1","21173016","5335600032","D12.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190986","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483593","","3603.36","1","31810467","8016237684","LO14.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190945","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483552","","1274.74","1","13475083","3395720916","WT3.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190929","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483536","","1962.68","1","19608015","4941219780","LG5.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190968","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483575","","3490.24","1","31006263","7813578276","WT9.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190978","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483585","","3339.89","1","29476004","7427953008","LG12.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190966","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483573","","2169.81","1","21438617","5402531484","OE9.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190971","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483578","","3602.32","1","32337529","8149057308","D12.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190941","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483548","","3090.32","1","27211191","6857220132","OE5.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190940","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483547","","2964.44","1","26598029","6702703308","OE5.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190992","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483599","","3734.1","1","33498082","8441516664","OE14.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190995","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483602","","2997.1","1","26812399","6756724548","WT12.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190937","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483544","","1723.53","1","17743559","4471376868","LO5.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190961","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483568","","3090.45","1","27222937","6860180124","LO9.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190948","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483555","","1343.18","1","14479005","3648709260","WT5.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190996","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483603","","2212.51","1","21247828","5354452656","WT12.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190959","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483566","","3165.97","1","27805475","7006979700","LG9.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190938","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483545","","1860.78","1","18778331","4732139412","OE3.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190991","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483598","","3214.36","1","27841557","7016072364","OE14.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190933","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483540","","1629.29","1","16678767","4203049284","LO3.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190984","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483591","","2707.05","1","23317449","5875997148","LO12.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190939","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483546","","2772.59","1","25190954","6348120408","OE3.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190947","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483554","","1782.06","1","18071106","4553918712","WT5.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190943","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483550","","1175.54","1","12301216","3099906432","WT3.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190993","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483600","","4944.25","1","42658899","10750042548","OE14.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190944","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483551","","1127.72","1","11854156","2987247312","WT3.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190989","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483596","","1712.94","1","17603004","4435957008","OE12.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190976","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483583","","3123.07","1","28002520","7056635040","LG12.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190999","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483606","","3350.13","1","29938754","7544566008","WT14.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190930","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483537","","1536.93","1","16373680","4126167360","LG5.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190981","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483588","","3472.93","1","30233858","7618932216","LG14.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190956","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483563","","1459.47","1","15103275","3806025300","D9.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190990","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483597","","1757.7","1","18065277","4552449804","OE12.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190985","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483592","","3641.41","1","31173000","7855596000","LO14.1_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190957","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483564","","1435.68","1","15173577","3823741404","D9.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190936","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483543","","3536.95","1","31405928","7914293856","LO5.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190998","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483605","","1595.92","1","16482366","4153556232","WT14.2_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"ERX6190969","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","mixed sample","Illumina HiSeq 2500","Plant Genome and Systems Biology, Helmholtz Center","ERP131445","Comparison of wild type and DEK1 mutant juvenile gametophytic development in Physcomitrium (Physcomitrella) patens with RNAseq data","ERS7483576","","2190.95","1","20822111","5247171972","WT9.3_p","RNA-Seq","TRANSCRIPTOMIC","PolyA"
